Species	Status	min_age	max_age
Megantereon	extinct	0.0117	5.333
Panthera_leo	extant	0.0117	0.781
Panthera_pardus	extant	0.0117	0.781
Felis_libyca	extinct	0.0117	0.781
Felidae	extinct	0.0117	0.781
Caracal_caracal	extant	0.0117	0.781
Panthera_leo	extant	0.0117	0.781
Homotherium	extinct	1.806	2.588
Homotherium	extinct	0.781	3.6
Felidae	extinct	1.806	3.6
Homotherium	extinct	1.806	2.588
Dinofelis	extinct	1.806	2.588
Homotherium	extinct	0.0117	5.333
Megantereon	extinct	0.0117	5.333
Panthera	extinct	0.0117	5.333
Megantereon	extinct	0.0117	5.333
Homotherium	extinct	3.6	5.333
Homotherium	extinct	0.0117	5.333
Megantereon	extinct	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Panthera_leo	extant	0.0117	5.333
Megantereon	extinct	0.781	1.806
Megantereon	extinct	0.0117	5.333
Panthera_leo	extant	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Homotherium	extinct	0.0117	5.333
Megantereon_eurynodon	extinct	0.0117	5.333
Megantereon	extinct	0.0117	5.333
Homotherium	extinct	0.0117	5.333
Panthera	extinct	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Felidae	extinct	1.806	2.588
Felidae	extinct	1.806	2.588
Felidae	extinct	1.806	2.588
Dinofelis	extinct	2.588	5.333
Megantereon	extinct	2.588	5.333
Homotherium	extinct	2.588	5.333
Felidae	extinct	2.588	5.333
Caracal_caracal	extant	2.588	5.333
Panthera_pardus	extant	2.588	5.333
Panthera_leo	extant	0.781	5.333
Panthera_pardus	extant	0.781	5.333
Dinofelis	extinct	0.781	5.333
Homotherium	extinct	0.781	5.333
Megantereon	extinct	0.781	5.333
Felidae	extinct	0.781	5.333
Felidae	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Megantereon	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Dinofelis	extinct	2.588	3.6
Felidae	extinct	2.588	3.6
Panthera_pardus	extant	2.588	5.333
Caracal_caracal	extant	2.588	5.333
Acinonyx_jubatus	extant	2.588	5.333
Dinofelis	extinct	2.588	5.333
Megantereon_cultridens	extinct	2.588	5.333
Megantereon	extinct	0.781	1.806
Panthera_leo	extant	0.781	1.806
Panthera_leo	extant	0.781	2.588
Panthera_pardus	extant	0.781	2.588
Caracal_caracal	extant	0.781	2.588
Dinofelis	extinct	0.781	2.588
Caracal_serval	extant	0.781	2.588
Megantereon	extinct	0.781	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felidae	extinct	0.0117	2.588
Panthera_pardus	extant	0.0117	5.333
Panthera_pardus	extant	2.588	5.333
Panthera_pardus	extant	0.0117	2.588
Acinonyx_jubatus	extant	0.0117	2.588
Megantereon_cultridens	extinct	0.0117	2.588
Felis_libyca	extinct	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felidae	extinct	2.588	5.333
Felidae	extinct	2.588	3.6
Panthera_leo	extant	0.0117	2.588
Felis_libyca	extinct	0	2.588
Felis_libyca	extinct	0.0117	2.588
Felidae	extinct	0	0.0117
Felis_silvestris	extant	0	0.0117
