"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"34927","col","","-3.518889","42.352501","Atapuerca TD11","","Gran Dolina","1","Middle Pleistocene","","0.781","0.126","9351"
"34940","col","","-3.500000","53.216702","Pontnewydd Cave","","","1","Pleistocene","","2.588","0.0117","9383"
"35078","col","","-2.533333","37.816666","Huescar 1","","Huéscar 1, Huescar-1","1","Early Pleistocene","Middle Pleistocene","2.588","0.126","9415"
"35369","col","","18.450001","45.866669","Villany locality 3","","Villany-Kalkberg-Nord,\r\nVillány 3,\r\nVillány-Kalkberg-Nord","1","Villanyian","","3.2","2.588","9534"
"35457","col","","18.450001","45.866669","Somssich Hill no. 2","","Somssichhegy 2","1","Early Pleistocene","","2.588","0.781","9534"
"35472","col","","20.533333","48.049999","Kovesvarad","","Kövesvárad","1","Middle Pleistocene","","0.781","0.126","9534"
"35476","col","","20.433332","48.216667","Uppony Rock Shelter 1, layer 10","","Uppony 1, level 10","1","Middle Pleistocene","","0.781","0.126","9534"
"36134","col","","12.300000","41.883331","Layer 4, Sedia del Diavolo, Rome","","","1","Middle Pleistocene","","0.781","0.126","9695"
"36206","col","","11.316667","51.400002","Voigtstedt bei Sangerhausen, Lehmzone","","Voigtstedt Loam zone,\r\nVoigtstedt clay level","1","Middle Pleistocene","","0.781","0.126","9643"
"36214","col","","14.083333","49.933334","Koneprusy C718 bei Karlstejn","","","2","Middle Pleistocene","","0.781","0.126","9643"
"36373","col","","11.300000","42.400002","Monte Argentario","","","1","Pleistocene","","2.588","0.0117","9754"
"36585","col","Yuanmou","100.940002","24.870001","Yuanmou formation, third member, lower part, Shangnabang","","Yuanmo formation","2","Pleistocene","","2.588","0.0117","9810"
"36729","col","","109.716667","28.316668","Luosixuan cave, bed 1, Jishou county","","","1","Late Pleistocene","","0.126","0.0117","9836"
"36730","col","","109.716667","28.316668","Luosixuan cave, bed 3, Jishou county","","","1","Late Pleistocene","","0.126","0.0117","9836"
"37024","col","'Ubeidiya","35.566666","32.683334","'Ubeidiya Formation site II-23","","Oubeidiyeh","1","Pleistocene","","2.588","0.0117","9913"
"37203","col","Lishi","109.250000","34.166668","Chenjiawo fauna collected in 1963","","","1","Pleistocene","","2.588","0.0117","9974"
"39252","col","","35.049999","32.716667","Tabun Cave Level E","","","1","Pleistocene","","2.588","0.0117","10604"
